台湾酒店2,#genre#
東森新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=30
中天新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=31
三立新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=32
東森財經HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=33
寰宇新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=34
壹新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=35
Bloomberg News,http://49.235.110.121:9090/daili/twjd678-2.php?id=36
NHK世界HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=37
衛視電影HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=38
AXN,http://49.235.110.121:9090/daili/twjd678-2.php?id=39
CINEMAX HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=40
STAR MOVIES GOLD,http://49.235.110.121:9090/daili/twjd678-2.php?id=41
緯來體育HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=42
博斯運動一,http://49.235.110.121:9090/daili/twjd678-2.php?id=43
momo 綜合台,http://49.235.110.121:9090/daili/twjd678-2.php?id=44
Star World,http://49.235.110.121:9090/daili/twjd678-2.php?id=45
衛視中文,http://49.235.110.121:9090/daili/twjd678-2.php?id=46
尼克兒童頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=47
nickjr.小尼克,http://49.235.110.121:9090/daili/twjd678-2.php?id=48
MTV Live音樂頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=49
達文西頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=50
寵物頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=51
台視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=52
國家地理HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=53
中視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=54
華視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=55
民視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=56
公視,http://49.235.110.121:9090/daili/twjd678-2.php?id=57
人間衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=58
大愛電視,http://49.235.110.121:9090/daili/twjd678-2.php?id=59
好消息頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=60
DISCOVERY,http://49.235.110.121:9090/daili/twjd678-2.php?id=61
旅遊生活,http://49.235.110.121:9090/daili/twjd678-2.php?id=62
動物星球,http://49.235.110.121:9090/daili/twjd678-2.php?id=63
亞洲旅遊,http://49.235.110.121:9090/daili/twjd678-2.php?id=64
momo親子台,http://49.235.110.121:9090/daili/twjd678-2.php?id=65
東森幼幼HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=66
龍華卡通台,http://49.235.110.121:9090/daili/twjd678-2.php?id=67
緯來綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=68
八大第一HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=69
八大綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=70
三立台灣HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=71
三立都會HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=72
衛視中文HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=73
東森綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=74
超視HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=75
中天綜合HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=76
中天娛樂HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=77
東風衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=78
MUCH TV,http://49.235.110.121:9090/daili/twjd678-2.php?id=79
東森戲劇HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=80
八大戲劇HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=81
TVBS歡樂HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=82
緯來戲劇,http://49.235.110.121:9090/daili/twjd678-2.php?id=83
龍華戲劇台,http://49.235.110.121:9090/daili/twjd678-2.php?id=84
龍華日韓劇,http://49.235.110.121:9090/daili/twjd678-2.php?id=85
龍華偶像劇,http://49.235.110.121:9090/daili/twjd678-2.php?id=86
緯來日本HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=87
Taiwan Plus,http://49.235.110.121:9090/daili/twjd678-2.php?id=88
年代新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=89
東森新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=90
中天新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=91
民視新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=92
三立新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=93
TVBS新聞HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=94
TVBS HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=95
非凡新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=96
非凡商業,http://49.235.110.121:9090/daili/twjd678-2.php?id=97
東森財經HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=98
寰宇新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=99
壹新聞,http://49.235.110.121:9090/daili/twjd678-2.php?id=100
Bloomberg News,http://49.235.110.121:9090/daili/twjd678-2.php?id=101
NHK世界HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=102
衛視電影HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=103
好萊塢電影HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=104
緯來電影HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=105
龍華電影台,http://49.235.110.121:9090/daili/twjd678-2.php?id=106
HBO,http://49.235.110.121:9090/daili/twjd678-2.php?id=107
AXN,http://49.235.110.121:9090/daili/twjd678-2.php?id=108
CINEMAX HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=109
STAR MOVIES GOLD,http://49.235.110.121:9090/daili/twjd678-2.php?id=110
Star World,http://49.235.110.121:9090/daili/twjd678-2.php?id=111
緯來育樂HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=112
緯來體育HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=113
博斯運動一,http://49.235.110.121:9090/daili/twjd678-2.php?id=114
momo 綜合台,http://49.235.110.121:9090/daili/twjd678-2.php?id=115
ELEVEN SPORTS 1 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=116
ELEVEN SPORTS 2 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=117
廈門衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=118
CCTV4-中央衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=119
海峽衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=120
浙江衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=121
東方衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=122
湖南衛視,http://49.235.110.121:9090/daili/twjd678-2.php?id=123
鳯凰衛視資訊,http://49.235.110.121:9090/daili/twjd678-2.php?id=124
鳯凰衛視中文,http://49.235.110.121:9090/daili/twjd678-2.php?id=125
ANIMAX 卡通動畫頻道,http://49.235.110.121:9090/daili/twjd678-2.php?id=126
CNBC,http://49.235.110.121:9090/daili/twjd678-2.php?id=127
Star World,http://49.235.110.121:9090/daili/twjd678-2.php?id=128
ELEVEN SPORTS 1 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=129
ELEVEN SPORTS 2 HD,http://49.235.110.121:9090/daili/twjd678-2.php?id=130
STAR MOVIES GOLD,http://49.235.110.121:9090/daili/twjd678-2.php?id=131
國家地理,http://49.235.110.121:9090/daili/twjd678-2.php?id=132
衛視中文,http://49.235.110.121:9090/daili/twjd678-2.php?id=133
衛視電影,http://49.235.110.121:9090/daili/twjd678-2.php?id=134
甘肃IPV6直播,#genre#
CCTV-1,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226247/1.m3u8
CCTV-2,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226220/1.m3u8
CCTV-3,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226490/1.m3u8
CCTV-4,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226539/1.m3u8
CCTV-5,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226587/1.m3u8
CCTV-5+,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226253/1.m3u8
CCTV-6,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226492/1.m3u8
CCTV-7,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226432/1.m3u8
CCTV-8,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226589/1.m3u8
CCTV-9,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226434/1.m3u8
CCTV-10,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226164/1.m3u8
CCTV-11,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226541/1.m3u8
CCTV-12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/1.m3u8
CCTV-13,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226438/1.m3u8
CCTV-14,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226166/1.m3u8
CCTV-15,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226616/1.m3u8
CCTV-16,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226413/1.m3u8
CCTV-17,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226407/1.m3u8
安徽卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226205/1.m3u8
江苏卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226157/1.m3u8
东方卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226155/1.m3u8
广东卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226180/1.m3u8
北京卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226161/1.m3u8
黑龙江卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226142/1.m3u8
浙江卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226144/1.m3u8
湖北卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226159/1.m3u8
山东卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226162/1.m3u8
湖南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226193/1.m3u8
天津卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226191/1.m3u8
东南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226182/1.m3u8
江西卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226207/1.m3u8
深圳卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226199/1.m3u8
辽宁卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226209/1.m3u8
河北卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226442/1.m3u8
海南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226450/1.m3u8
四川卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226454/1.m3u8
贵州卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226547/1.m3u8
甘肃卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226240/1.m3u8
重庆卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226551/1.m3u8
河南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226614/1.m3u8
内蒙古卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225664/1.m3u8
厦门卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225689/1.m3u8
兵团卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225631/1.m3u8
西藏卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225698/1.m3u8
吉林卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226440/1.m3u8
陕西卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226444/1.m3u8
广西卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226452/1.m3u8
云南卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226549/1.m3u8
新疆卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226608/1.m3u8
青海卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226606/1.m3u8
山西卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226604/1.m3u8
三沙卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226701/1.m3u8
宁夏卫视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226693/1.m3u8
卡酷少儿,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225643/1.m3u8
哈哈炫动,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225668/1.m3u8
金鹰卡通,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225634/1.m3u8
嘉佳卡通,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225681/1.m3u8
上海都市,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225673/1.m3u8
上海外语,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226201/1.m3u8
欢笑剧场,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226203/1.m3u8
第一财*,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226172/1.m3u8
都市剧场,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226176/1.m3u8
生活时尚,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226358/1.m3u8
纪实人文,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226174/1.m3u8
法治天地,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221225627/1.m3u8
游戏风云,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226187/1.m3u8
哈哈炫动,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226618/1.m3u8
动漫秀场,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226197/1.m3u8
东方财经,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226602/1.m3u8
甘肃都市,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226248/1.m3u8
甘肃经济,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226252/1.m3u8
甘肃文化影视,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226287/1.m3u8
甘肃少儿,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226289/1.m3u8
甘肃公共应急,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226250/1.m3u8
兰州新闻综合,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226242/1.m3u8
兰州生活经济,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226285/1.m3u8
兰州文旅频道,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226597/1.m3u8
咪咕综合体育,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226504/1.m3u8
咪咕精彩足球,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226506/1.m3u8
咪咕精彩足球,http://[2409:8087:74F1:0021::0008]:80/PLTV/88888888/224/3221226508/1.m3u8
影视剧频道,http://[2409:8087:2001:20:2800:0:df6e:eb08]:80/wh7f454c46tw358438321_509961053/ott.mobaibox.com/PLTV/3/224/3221227372/index.m3u8?icpid=3&RTS=1674380473&from=40&popid=40&hms_devid=2037&prioritypopid=40&vqe=3
弈坛春秋,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw354821479_-1797672522/ott.mobaibox.com/PLTV/3/224/3221227031/index.m3u8?icpid=3&RTS=1674380470&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
咪咕怀旧剧场,http://[2409:8087:2001:20:2800:0:df6e:eb1b]:80/wh7f454c46tw1562418169_1306835337/ott.mobaibox.com/PLTV/3/224/3221228120/index.m3u8?icpid=3&RTS=1674385972&from=40&popid=40&hms_devid=2116&prioritypopid=40&vqe=3
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226692/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226712/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221225881/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226708/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226754/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电视剧,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221225893/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
动漫,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226741/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
动漫,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226743/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
动漫,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226736/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
动漫,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226732/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178
电影1905,http://49.235.110.121:9090/daili/1905.php?id=1905
咪咕视频直播,#genre#
CCTV-1HD,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1580954862_989339440/wd_r2/cctv/cctv1hd/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073730&ContentId=265183188&timezone=UTC&mtv_session=70e0f8e2241f03fbb284fe07471c1406&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=a8389d6ec822d0e298d3b92aa95fa266
CCTV-1HD2,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1581250417_885644752/wd_r2/cctv/cctv1hd/1200/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265183188&timezone=UTC&mtv_session=daa1da1586a901a8da2361a3c74fb673&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=7ebdf5c15cb6d83de8422d8a58468f02
CCTV-2HD,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1581514102_1458964604/wd_r2/cctv/cctv2hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265667329&timezone=UTC&mtv_session=0652a49abec4c860e1b09ad88db72dc8&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3816442679b4c149e40771e4b7b870cb
CCTV-3HD,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1581797368_796839580/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073731&ContentId=265667206&timezone=UTC&mtv_session=930288b6183258a028c1df87d499752c&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=4fe4ab3b93d2b7f4fe74cdc14f0914bb
CCTV-4HD,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1582083769_-1437579634/wd_r2/cctv/cctv4hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667639&timezone=UTC&mtv_session=bd66c8df11d2f77bee645f53f4ed7362&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=c2b1baee99eab7588b8ea53f584c3bb1
CCTV-4欧洲,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1582375949_203608310/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667313&timezone=UTC&mtv_session=12bc39164397f10e5223af167f7534a1&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9d84e48895c7676c2037280dd67a8351
CCTV-4美洲,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1582682240_-1402839824/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667335&timezone=UTC&mtv_session=361466f23b240ef7fb33d32f582f16e5&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=0ecf0c5bd1bb66dff4d24e873e5c63ef
CCTV-5HD,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1582982132_-1228252651/wd_r2/cctv/cctv5hdnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073732&ContentId=265667565&timezone=UTC&mtv_session=9723de29a88e2be1095d8c6d5a75dee9&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=12723843ed39c650d67a569eb896dd81
CCTV-5HD2,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1583280123_-1034945773/wd_r2/cctv/cctv5hdnew/1200/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073733&ContentId=265667565&timezone=UTC&mtv_session=8f0bdd602a18ee761127cc159afcecfb&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2b2cde70d9706cbeb708efa172ae54ff
CCTV-5+HD,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1583569220_1871236375/wd_r2/cctv/cctv5plusnew/1200/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073733&ContentId=265106763&timezone=UTC&mtv_session=58d355d22d80390d6d25dbd6f235e018&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9c4cfaf2b480fa47f51066d541e0a97a
CCTV-5+HD2,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1583876590_-1805575416/wd_r2/cctv/cctv5plusnew/2500/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073733&ContentId=265106763&timezone=UTC&mtv_session=1f5bd52f67ecd434a6cf3bd7ebc51a71&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=08375028c68909716c1218fc91018199
CCTV-6HD,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1584168866_889700348/wd_r2/ocn/cctv6hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667482&timezone=UTC&mtv_session=f70082b1ade8cb422547681dfcdad578&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=3197a71757b802dc65f32626eb2ec8dd
CCTV-7HD,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1584449189_-1771078739/migu/kailu/20200324/cctv7hd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667268&timezone=UTC&mtv_session=dac68d68c1a7bfb5fce6e52fcae95b03&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=011fdc0d9d5b681821c2be70c08216b1
CCTV-8HD,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1584743785_1819567660/wd_r2/ocn/cctv8hd/3000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073734&ContentId=265667466&timezone=UTC&mtv_session=f134ad943219a0326cf721cd778880da&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=d7e74f98dc5df6c18673696da1cb0fc7
